58.29.29;"Обеспечение программное прикладное прочее на электронном носителе
Эта группировка также включает:
- прикладное программное обеспечение для вертикального рынка, т.е. программное обеспечение, выполняющее самые разнообразные производственные функции для определенной отрасли, например обрабатывающей промышленности, розничной торговли, здравоохранения, проектирования и строительства, ресторанного дела и т.д.;
- служебное программное обеспечение, т.е. небольшие компьютерные программы, выполняющие конкретное задание, такие как программы уплотнения файлов, программы защиты от вирусов, поисковые системы, программы по установке шрифта, программы просмотра файлов, программное обеспечение для распознавания голоса или речи (служебное программное обеспечение отличается от другого прикладного программного обеспечения размером, ценой и уровнем сложности);
- прикладное программное обеспечение, не включенное в другие группировки
"
58.29.29.000;Обеспечение программное прикладное прочее на электронном носителе
62;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий"
62.0;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий"
62.01;Продукты программные и услуги по разработке и тестированию программного обеспечения
62.01.1;Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения
62.01.11;"Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения
Эта группировка включает:
- услуги по разработке структуры и/или написанию системы команд, включая обновления и исправления, необходимые для создания и/или реализации приложения, такие как: разработка структуры и содержания web-сайтов и/или написание системы команд, необходимых для создания и внедрения web-сайтов, разработка структуры и содержания баз данных и/или написание системы команд, необходимых для создания и внедрения баз данных (хранилищ данных);
- разработка структуры и написание системы команд, необходимых для проектирования и разработки прикладных программ, кроме программирования для разработки web-сайтов, баз данных или интеграции пакетов программного обеспечения;
- индивидуализация и интеграция, настройка (модификация, конфигурация и т.п.) и внедрение существующего приложения таким образом, чтобы оно функционировало бы в рамках информационной системы клиента;
- тестирование программного обеспечения
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому проектирование и разработка web-сайта связаны с его размещением, см. 63.11.13;
- услуги, осуществляемые по договору, согласно которому проектирование и разработка приложения связаны с его размещением и управлением на постоянной основе, см. 63.11.19;
- услуги, осуществляемые по договору, согласно которому проектирование и разработка базы данных связаны с постоянным управлением хранимыми данными, см. 63.11.19"
62.01.11.000;Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения
62.01.12;"Услуги по проектированию и разработке информационных технологий для сетей и систем
Эта группировка включает:
- проектирование, разработку и внедрение сетей клиента, таких как внутрикорпоративные сети, экстрасети и виртуальные частные сети;
- услуги по проектированию и разработке средств безопасности сети, т.е. проектированию, разработке и внедрению программного обеспечения, аппаратного оборудования и процедур для контроля доступа к данным и программам и для предоставления возможности для безопасного обмена информацией по сети
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому данная услуга связана с оперативным управлением сети клиента, см. 62.03.12
"
62.01.12.000;Услуги по проектированию и разработке информационных технологий для сетей и систем
62.01.2;"Оригиналы программного обеспечения
Эта группировка включает:
- интеллектуальную собственность, охраняемую авторским правом, произведенную без контракта на продажу с безотлагательным расчетом наличными (т.е. со всеми сопутствующими имущественными правами);
- интеллектуальную собственность, предназначенную для продажи и косвенно или открыто охраняемую авторским правом (например, компьютерное программное обеспечение)
Эта группировка не включает:
- программное обеспечение, произведенное по договору для третьих сторон, см. 62.01.11;
- услуги по оптовой и розничной торговле программным обеспечением, см. 46.14.11, 46.51.10, 47.00.31
"
62.01.21;Оригиналы программного обеспечения компьютерных игр
62.01.21.000;Оригиналы программного обеспечения компьютерных игр
