61.90.10;"Услуги телекоммуникационные прочие
Эта группировка включает:
- предоставление специализированных телекоммуникационных приложений, таких как спутниковый трекинг, коммуникационная телеметрия и эксплуатация радиолокационных станций;
- управление спутниковыми терминалами и сопутствующим оборудованием, связанным операционным образом с одной или более наземными коммуникационными системами и способным передавать и получать данные от спутниковых систем;
- предоставление доступа к информационно-коммуникационной сети Интернет через сети, установленные между клиентом и провайдером услуг информационно-коммуникационной сети Интернет, не принадлежащие провайдеру услуг информационно-коммуникационной сети Интернет или не находящиеся под его контролем, такие как доступ к информационно-коммуникационной сети Интернет по телефонной линии и т.д.;
- предоставление телефонной связи и доступа к информационно-коммуникационной сети Интернет в общественных зданиях;
- предоставление телекоммуникационных услуг посредством существующих телекоммуникационных соединений: VoIP-передача голоса по протоколу IP;
- предоставление возможности пользоваться пропускной способностью сети, не предоставляя дополнительных услуг;
- предоставление телекоммуникационных услуг, не включенных в другие группировки, таких как услуги телеграфа, телекса и конференц-связи по телефонному каналу"
61.90.10.110;Услуги по предоставлению специализированных телекоммуникационных приложений, таких как спутниковый трекинг, коммуникационная телеметрия и эксплуатация радиолокационных станций
61.90.10.120;Услуги по управлению спутниковыми терминалами и сопутствующим оборудованием, связанным операционным образом с одной или более наземными коммуникационными системами и способным передавать и получать данные от спутниковых систем
61.90.10.130;Услуги по предоставлению доступа к информационно-коммуникационной сети Интернет через сети, установленные между клиентом и провайдером услуг информационно-коммуникационной сети Интернет, не принадлежащие провайдеру услуг информационно-коммуникационной сети Интернет или не находящиеся под его контролем, такие как доступ к информационно-коммуникационной сети Интернет по телефонной линии и т.д.
61.90.10.140;Услуги по предоставлению телефонной связи и доступа к информационно-коммуникационной сети Интернет в общественных зданиях
61.90.10.150;Услуги телекоммуникационные посредством существующих телекоммуникационных соединений
61.90.10.160;Услуги связи по предоставлению каналов связи
61.90.10.190;Услуги телекоммуникационные прочие, не включенные в другие группировки
61.90.10.191;Услуги телеграфной связи
61.90.10.192;Услуги факсимильной связи
61.90.10.193;Услуги конференц-связи по телефонному каналу
62;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий"
62.0;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий"
62.01;Продукты программные и услуги по разработке и тестированию программного обеспечения
62.01.1;Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения
62.01.11;"Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения
Эта группировка включает:
- услуги по разработке структуры и/или написанию системы команд, включая обновления и исправления, необходимые для создания и/или реализации приложения, такие как: разработка структуры и содержания web-сайтов и/или написание системы команд, необходимых для создания и внедрения web-сайтов, разработка структуры и содержания баз данных и/или написание системы команд, необходимых для создания и внедрения баз данных (хранилищ данных);
- разработка структуры и написание системы команд, необходимых для проектирования и разработки прикладных программ, кроме программирования для разработки web-сайтов, баз данных или интеграции пакетов программного обеспечения;
- индивидуализация и интеграция, настройка (модификация, конфигурация и т.п.) и внедрение существующего приложения таким образом, чтобы оно функционировало бы в рамках информационной системы клиента;
- тестирование программного обеспечения
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому проектирование и разработка web-сайта связаны с его размещением, см. 63.11.13;
- услуги, осуществляемые по договору, согласно которому проектирование и разработка приложения связаны с его размещением и управлением на постоянной основе, см. 63.11.19;
- услуги, осуществляемые по договору, согласно которому проектирование и разработка базы данных связаны с постоянным управлением хранимыми данными, см. 63.11.19"
62.01.11.000;Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения
62.01.12;"Услуги по проектированию и разработке информационных технологий для сетей и систем
Эта группировка включает:
- проектирование, разработку и внедрение сетей клиента, таких как внутрикорпоративные сети, экстрасети и виртуальные частные сети;
- услуги по проектированию и разработке средств безопасности сети, т.е. проектированию, разработке и внедрению программного обеспечения, аппаратного оборудования и процедур для контроля доступа к данным и программам и для предоставления возможности для безопасного обмена информацией по сети
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому данная услуга связана с оперативным управлением сети клиента, см. 62.03.12
"
62.01.12.000;Услуги по проектированию и разработке информационных технологий для сетей и систем
62.01.2;"Оригиналы программного обеспечения
Эта группировка включает:
- интеллектуальную собственность, охраняемую авторским правом, произведенную без контракта на продажу с безотлагательным расчетом наличными (т.е. со всеми сопутствующими имущественными правами);
- интеллектуальную собственность, предназначенную для продажи и косвенно или открыто охраняемую авторским правом (например, компьютерное программное обеспечение)
Эта группировка не включает:
- программное обеспечение, произведенное по договору для третьих сторон, см. 62.01.11;
- услуги по оптовой и розничной торговле программным обеспечением, см. 46.14.11, 46.51.10, 47.00.31
"
62.01.21;Оригиналы программного обеспечения компьютерных игр
62.01.21.000;Оригиналы программного обеспечения компьютерных игр
62.01.29;Оригиналы программного обеспечения прочие
62.01.29.000;Оригиналы программного обеспечения прочие
62.02;"Услуги консультативные, связанные с компьютерной техникой
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому консультативные услуги связаны с проектированием и разработкой решения в области информационных технологий (web-сайта, базы данных, конкретного приложения, сети и т.д.), см. услуги по проектированию и разработке соответствующей информационной технологии в группировке 62.01.1;
- консультирование по вопросам, связанным со стратегией бизнеса, например консультирование по разработке стратегии электронной торговли, см. 70.22.11
"
62.02.1;Услуги консультативные по компьютерному оборудованию
62.02.10;"Услуги консультативные по компьютерному оборудованию
Эта группировка включает:
- предоставление консультативных услуг или экспертного заключения по вопросам информационных технологий, связанным с компьютерным оборудованием, например консультативных услуг по таким вопросам, как требования к аппаратному оборудованию и закупки такого оборудования;
- предоставление экспертного заключения по вопросам, связанным с компьютерным оборудованием;
- комплексные услуги по оценке потребностей организации в компьютерах, консультированию по вопросу закупок компьютерного оборудования и программного обеспечения, разработке спецификаций системы и внедрению новой системы;
- услуги по интегрированию компьютерных систем, т.е. анализ действующей компьютерной системы клиента, настоящих и будущих требований к вычислительным ресурсам, приобретение нового оборудования и программного обеспечения и интегрирование компонентов новой и старой систем для создания новой интегрированной системы
"
62.02.10.000;Услуги консультативные по компьютерному оборудованию
62.02.2;Услуги консультативные по вопросам систем и программному обеспечению
62.02.20;"Услуги консультативные по вопросам систем и программному обеспечению
Эта группировка включает:
- предоставление консультативных услуг или экспертного заключения по вопросам информационных технологий, связанных с системами информационных технологий и программным обеспечением, таких как: консультации по таким вопросам, как требования к программному обеспечению и его закупки, консультации по вопросам безопасности систем
"
62.02.20.110;Услуги по планированию и проектированию компьютерных систем
62.02.20.120;Услуги по обследованию и экспертизе компьютерных систем
62.02.20.130;Услуги по обучению пользователей
62.02.20.140;Услуги по подготовке компьютерных систем к эксплуатации
62.02.20.190;Услуги консультативные в области компьютерных технологий прочие
62.02.3;Услуги по технической поддержке информационных технологий
62.02.30;"Услуги по технической поддержке информационных технологий
Эта группировка включает:
- предоставление технической поддержки при использовании программного обеспечения или выявлении и устранении его неисправностей;
- услуги по обновлению;
- предоставление технической поддержки при использовании аппаратного оборудования или выявлении и устранении его неисправностей, включая тестирование и чистку в рабочем порядке и ремонт оборудования информационных технологий;
- техническую помощь при перемещении компьютерной системы клиента на новое место;
- предоставление технической поддержки при использовании аппаратного оборудования в сочетании с программным обеспечением или выявлении и устранении его неисправностей;
- предоставление технической помощи для решения специализированных проблем клиента, связанных с использованием компьютерной системы, такой как услуги по проверке или оценке работы вычислительных машин без консультаций или прочих последующих действий, включая проверку, оценку и составление документации для сервера, сети или процесса в отношении компонентов, характеристик, качества функционирования или безопасности
Данная категория включает услуги по управлению и контролю инфраструктуры информационных технологий клиента, включая аппаратное оборудование, программное обеспечение и сети
Эта группировка не включает:
- услуги по восстановлению программного обеспечения в случае аварии, см. 62.09.20
"
62.02.30.000;Услуги по технической поддержке информационных технологий
62.03;Услуги по управлению компьютерным оборудованием
62.03.1;"Услуги по управлению компьютерным оборудованием
Эта группировка включает:
- услуги по управлению и контролю инфраструктуры информационных технологий клиента, включая аппаратное оборудование, программное обеспечение и сети"
62.03.11;"Услуги по управлению сетями
Эта группировка включает:
- услуги по управлению и контролю коммуникационных сетей и взаимосвязанного аппаратного оборудования для диагностики проблем сети и сбора статистических данных о емкости сети и использованию для управления сетевым потоком и его точной настройки
Данные услуги также включают удаленное управление системами безопасности или предоставление услуг, связанных с безопасностью
"
62.03.11.000;Услуги по управлению сетями
62.03.12;"Услуги по управлению компьютерными системами
Эта группировка включает:
- предоставление услуг по оперативному управлению и эксплуатации компьютерной системы клиента
"
62.03.12.110;Услуги по управлению компьютерными системами непосредственно
62.03.12.120;Услуги по управлению компьютерными системами дистанционно
62.03.12.130;Услуги по сопровождению компьютерных систем
62.03.12.190;Услуги по управлению компьютерными системами прочие, не включенные в другие группировки
62.09;Услуги в области информационных технологий прочие и компьютерные услуги
62.09.1;Услуги по установке компьютеров и периферийного оборудования
62.09.10;"Услуги по установке компьютеров и периферийного оборудования
Эта группировка не включает:
- услуги по установке универсальных электронных вычислительных машин, см. 33.20.39
"
62.09.10.000;Услуги по установке компьютеров и периферийного оборудования
62.09.2;Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки
62.09.20;"Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки
Эта группировка включает:
- услуги по восстановлению данных, т.е. восстановление данных клиента с поврежденного или нестабильного накопителя на жестких дисках или прочего носителя памяти, или предоставление резервного компьютерного оборудования и дубликата программного обеспечения в отдельном месте с целью предоставления клиенту возможности переместить постоянный персонал для возобновления и поддержки повседневных компьютеризованных работ в случае чрезвычайного происшествия, такого как пожар или наводнение;
- услуги по установке программного обеспечения;
- прочие услуги по технической поддержке в области информационных технологий, не включенные в другие группировки
Эта группировка не включает:
- услуги в области компьютерного программирования, см. 62.01.1;
- консультативные услуги в области информационных технологий, см. 62.02;
- услуги по обработке данных и размещению, см. 63.11.1
"
62.09.20.110;Услуги по восстановлению данных и поддержке повседневных компьютеризованных работ в случае чрезвычайного происшествия, такого как пожар или наводнение
62.09.20.120;Услуги по установке программного обеспечения
62.09.20.190;Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки
63.11;Услуги по обработке данных, размещению и взаимосвязанные услуги
63.11.1;Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов
63.11.11;"Услуги по обработке данных

Эта группировка включает:

- комплексные услуги по обработке и составлению специализированных отчетов на основе данных, предоставленных клиентами, или предоставление услуг по автоматизированной обработке данных и вводу данных, включая услуги по управлению базой данных"
63.11.11.000;Услуги по обработке данных
63.11.12;"Услуги по размещению в информационно-коммуникационной сети Интернет
Эта группировка включает:
- предоставление инфраструктуры для размещения web-сайта клиента и связанных с ним файлов в месте, обеспечивающем высокоскоростное, надежное соединение с информационно-коммуникационной сетью Интернет, которое может быть ограничено хранением на одном сервере, в общей или выделенной емкости, когда провайдер услуги не предоставляет услуг по управлению или интеграции прикладного программного обеспечения (ответственность за программное обеспечение, размещенное на сервере, несет клиент, и гарантии уровня обслуживания являются стандартными и ограничены по сфере применения);
- пакет комплексных услуг, состоящий из размещения и управления web-сайтом и взаимосвязанными приложениями. Важная характерная особенность данной услуги - обязательство обеспечения безопасного и надежного сайта и подключения к информационно-коммуникационной сети Интернет, которое можно быстро изменять для приспособления к изменениям в использовании потока. В пакет часто включено предоставление консультаций, услуги по индивидуализации и интеграции систем. Приложения часто связаны с электронной коммерцией и предоставляют возможность для функционирования электронных магазинов, работы корзин покупок и каталогов с улучшенными и сложными характеристиками, такими как обработка и выполнение заказов, поставки, выставление счетов-фактур, оформление операций, управление взаимоотношениями с клиентами, услуги по интеграции серверных баз данных и хранилищ данных и переносу данных между ними
"
63.11.12.000;Услуги по размещению в информационно-коммуникационной сети Интернет
63.11.13;"Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя

Эта группировка включает:

- предоставление прав использования программного обеспечения и баз данных, размещенных, эксплуатируемых и управляемых на компьютерном оборудовании, не принадлежащем пользователю, через удаленный доступ к такому оборудованию, в том числе посредством информационно-телекоммуникационной сети Интернет, с предоставлением или без предоставления для установки на компьютерном оборудовании пользователя программного обеспечения, обеспечивающего указанное использование;

- услуги по интеграции программного обеспечения, используемого через удаленный доступ к оборудованию, на котором оно размещено, с компьютерными системами пользователя, соответствующая модификация программного обеспечения;

- сопутствующие услуги"
63.11.13.000;Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя
63.11.19;"Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий
Эта группировка включает:
- услуги по аренде стоечного пространства, т.е. предоставление стоечного пространства в защищенном помещении для размещения серверов и серверных платформ (услуга включает предоставление пространства для аппаратного оборудования и программного обеспечения клиента, подключение к информационно-коммуникационной сети Интернет или прочим коммуникационным сетям, а также повседневный контроль за серверами, ответственность
за управление операционной системой, аппаратным оборудованием и программным обеспечением несут клиенты);
- услуги по хранению данных, т.е. услуги по управлению хранилищем или его администрированию;
- услуги по управлению резервным копированием данных, такие как услуги по дистанционному созданию резервных копий, хранению, или управлению иерархическими запоминающими устройствами (переносу данных);
- услуги по управлению данными, т.е. постоянное управление данными и их администрирование в качестве организационного ресурса. (В услуги может быть включено моделирование данных, мобилизация данных, отображение/рационализация данных, извлечение информации из данных и создание системной архитектуры.)
"
63.11.19.000;Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий
63.11.2;Услуги по передаче потокового видео и аудио
63.11.21;"Услуги по передаче потокового видео

Эта группировка включает:

- поточные видеоданные, пересылаемые через информационно-коммуникационную сеть Интернет"
63.11.21.000;Услуги по передаче потокового видео
63.11.22;"Услуги по передаче потокового аудио

Эта группировка включает:

- поточные аудиоданные, пересылаемые через информационно-коммуникационную сеть Интернет"
63.11.22.000;Услуги по передаче потокового аудио
63.11.3;Место или время для рекламы в информационно-коммуникационной сети Интернет
63.11.30;"  
Место или время для рекламы в информационно-коммуникационной сети Интернет

Эта группировка не включает:

- место для рекламы в книгах, газетах, журналах и периодических изданиях в информационно-коммуникационной сети Интернет, см. 58.11.42, 58.13.32, 58.14.32
Место или время для рекламы в информационно-коммуникационной сети Интернет

Эта группировка не включает:

- место для рекламы в книгах, газетах, журналах и периодических изданиях в информационно-коммуникационной сети Интернет, см. 58.11.42, 58.13.32, 58.14.32"
63.11.30.000;Место или время для рекламы в информационно-коммуникационной сети Интернет
